SWB_1,SWB_2,SWB_3,FSscore,HOUSING,LIVINGARRANGEMENT,SAVINGSRANGES,EARNERS,MANAGE2,PAREDUC,HHEDUC,KIDS_NoChildren,EMPLOY,agecat,generation,PPEDUC,PPETHM,PPGENDER,PPHHSIZE,PPINCIMP,PPMARIT,PPREG4,PPREG9
2,4,4,31,2,1,4,1,3,4,3,1,5,1,4,3,1,1,1,1,4,2,3
7,7,6,58,2,2,99,2,2,1,1,0,1,3,3,1,4,2,5,2,1,4,9
5,5,5,39,1,2,6,2,3,3,3,0,2,4,3,3,1,1,4,3,1,2,4
5,5,6,38,1,2,5,1,2,2,2,1,8,7,2,2,1,2,1,7,1,1,2
7,5,5,49,1,2,5,2,1,3,5,1,8,7,2,5,1,1,2,8,1,2,3
6,6,6,85,1,2,99,2,2,2,3,0,3,4,3,2,1,1,2,3,1,3,6
7,6,5,59,2,2,6,2,1,5,5,0,2,5,2,5,1,1,3,9,1,4,9
5,5,5,50,1,2,6,2,2,2,3,1,8,7,1,3,1,2,2,6,1,4,8
7,7,7,65,1,2,6,2,2,2,2,1,8,7,1,2,1,1,2,4,1,2,3
5,7,5,43,2,2,3,2,3,2,3,1,6,5,2,2,1,2,3,4,1,2,4
6,5,5,52,1,2,4,1,3,3,3,0,2,4,3,3,1,1,3,8,1,2,3
6,6,6,60,1,2,2,1,2,2,2,0,1,4,3,2,1,2,4,8,1,4,9
6,6,6,73,1,2,3,1,3,2,3,0,99,2,4,2,1,2,4,6,1,4,9
5,5,7,60,1,2,7,2,2,3,5,0,4,5,2,5,2,2,1,9,1,3,5
2,4,4,78,2,1,99,1,3,1,5,1,3,4,3,4,2,2,1,2,4,1,2
5,5,5,35,2,1,5,1,3,4,4,1,2,1,4,4,1,1,1,2,4,2,4
4,5,6,31,1,2,4,1,3,2,3,1,3,4,2,3,4,2,2,7,1,4,8
6,6,5,71,1,2,99,2,2,4,4,1,8,7,2,4,1,1,2,7,2,4,9
7,7,7,85,3,3,7,2,1,5,5,1,2,2,4,2,3,1,3,8,4,4,9
6,7,7,56,2,2,3,1,2,2,3,1,7,2,4,2,2,1,5,2,4,3,6
7,7,7,75,3,3,99,3,2,4,4,1,2,1,4,2,1,2,5,6,5,3,7
7,7,7,65,1,2,2,1,3,4,5,0,2,2,4,4,1,1,5,7,1,3,7
